Date,Mom   
196307,   1.00
196308,   1.03
196309,   0.16
196310,   3.14
196311,  -0.75
196312,   1.70
196401,   1.06
196402,   0.24
196403,   0.72
196404,  -0.60
196405,   2.54
196406,   0.45
196407,  -0.37
196408,  -0.19
196409,  -0.39
196410,   0.08
196411,   1.08
196412,  -0.69
196501,  -1.28
196502,   0.30
196503,   0.10
196504,   2.54
196505,   0.54
196506,  -3.12
196507,   4.10
196508,   2.58
196509,   3.36
196510,   3.45
196511,   4.42
196512,   0.09
196601,   5.41
196602,   4.58
196603,   1.34
196604,   6.18
196605,  -4.69
196606,   3.28
196607,  -1.39
196608,  -2.11
196609,  -1.73
196610,  -5.13
196611,   5.73
196612,   1.07
196701,  -6.75
196702,   3.56
196703,   1.42
196704,   0.64
196705,   0.67
196706,   6.03
196707,  -1.07
196708,  -1.41
196709,   2.55
196710,   3.66
196711,   1.29
196712,   3.23
196801,  -4.64
196802,  -3.41
196803,   3.18
196804,   5.15
196805,   3.73
196806,  -1.92
196807,  -0.84
196808,   1.88
196809,  -0.67
196810,  -1.52
196811,   1.73
196812,   0.11
196901,  -0.15
196902,  -2.46
196903,   3.95
196904,   1.17
196905,   1.68
196906,  -2.22
196907,   1.64
196908,   2.13
196909,   2.53
196910,  -4.32
196911,   3.60
196912,   5.05
197001,   0.63
197002,   0.12
197003,  -0.29
197004,  -0.73
197005,  -2.73
197006,   5.78
197007,  -2.94
197008,  -6.50
197009,  -8.92
197010,   9.61
197011,   2.89
197012,  -2.19
197101,  -6.71
197102,   0.81
197103,  -1.21
197104,   1.32
197105,   0.89
197106,   2.72
197107,  -2.37
197108,   3.51
197109,   2.09
197110,   0.46
197111,   1.48
197112,  -0.68
197201,   0.24
197202,   2.70
197203,   2.91
197204,   2.90
197205,   3.19
197206,   1.93
197207,   2.75
197208,  -5.34
197209,   1.75
197210,   0.75
197211,  -5.14
197212,   4.98
197301,   3.71
197302,   2.12
197303,   3.62
197304,   6.40
197305,   7.09
197306,   4.31
197307, -11.69
197308,   3.42
197309,  -7.03
197310,   6.75
197311,   8.63
197312,  10.39
197401,  -8.82
197402,   0.14
197403,  -0.99
197404,   2.00
197405,  -0.26
197406,   2.37
197407,   3.01
197408,   3.00
197409,   4.32
197410,  -0.50
197411,   2.17
197412,   2.95
197501, -13.89
197502,  -0.55
197503,  -1.99
197504,   1.34
197505,  -0.47
197506,   0.06
197507,   0.42
197508,  -0.13
197509,   0.32
197510,  -0.14
197511,  -0.45
197512,  -0.12
197601,   4.46
197602,   0.36
197603,   0.19
197604,   0.50
197605,  -1.10
197606,  -0.42
197607,  -0.12
197608,  -0.85
197609,   0.24
197610,  -0.48
197611,   2.90
197612,   0.77
197701,   3.98
197702,   0.35
197703,   0.49
197704,   4.22
197705,   2.01
197706,   1.77
197707,   0.31
197708,  -1.78
197709,   2.06
197710,  -0.13
197711,   2.19
197712,   1.56
197801,  -0.72
197802,   1.90
197803,   1.37
197804,   0.85
197805,   2.85
197806,   2.78
197807,   4.22
197808,   2.82
197809,  -3.11
197810,  -8.39
197811,   5.52
197812,   3.05
197901,  -1.24
197902,  -1.06
197903,   2.88
197904,   0.81
197905,  -0.20
197906,   0.82
197907,  -1.09
197908,  -0.23
197909,   5.34
197910,   2.12
197911,   7.96
197912,   4.78
198001,   7.51
198002,   7.88
198003,  -9.59
198004,  -0.42
198005,  -1.11
198006,   1.59
198007,   0.37
198008,   3.19
198009,   5.44
198010,   7.32
198011,  15.24
198012,  -6.65
198101,  -7.94
198102,  -1.39
198103,   0.74
198104,  -0.96
198105,   3.75
198106,  -5.90
198107,  -2.52
198108,  -1.12
198109,   1.98
198110,   4.07
198111,  -0.27
198112,   1.32
198201,   1.73
198202,   5.00
198203,   2.93
198204,  -0.41
198205,   2.55
198206,   5.00
198207,   4.47
198208,  -3.52
198209,   4.17
198210,   0.03
198211,   5.89
198212,   0.02
198301,  -1.70
198302,   3.83
198303,   0.93
198304,   1.80
198305,  -1.59
198306,   1.78
198307,  -3.13
198308,  -6.25
198309,  -0.10
198310,  -4.56
198311,  -0.09
198312,   0.74
198401,  -2.49
198402,   0.19
198403,   1.09
198404,   2.05
198405,   1.52
198406,  -0.70
198407,   2.93
198408,  -5.69
198409,   3.67
198410,   3.21
198411,   1.70
198412,   1.54
198501,  -6.90
198502,   1.82
198503,   1.68
198504,   3.06
198505,   4.00
198506,   3.63
198507,  -3.94
198508,   1.82
198509,   1.48
198510,   4.88
198511,  -0.40
198512,  -0.13
198601,   2.96
198602,   2.78
198603,   2.45
198604,  -0.50
198605,   2.02
198606,   5.16
198607,   1.80
198608,  -5.01
198609,  -5.86
198610,   2.69
198611,  -0.32
198612,   0.40
198701,   2.10
198702,  -2.17
198703,   1.60
198704,   0.26
198705,  -0.68
198706,  -0.20
198707,   2.67
198708,  -0.87
198709,   0.71
198710,  -7.86
198711,  -1.15
198712,   5.83
198801,  -7.58
198802,  -1.54
198803,   0.63
198804,   2.25
198805,   0.64
198806,  -2.91
198807,   0.63
198808,   0.33
198809,   0.24
198810,   1.31
198811,   0.42
198812,   0.42
198901,  -0.14
198902,   0.94
198903,   3.55
198904,   1.69
198905,   1.56
198906,   0.65
198907,   5.44
198908,  -0.14
198909,   3.40
198910,   1.37
198911,   2.58
198912,   2.81
199001,  -3.28
199002,  -0.53
199003,   1.65
199004,   2.40
199005,   3.05
199006,   2.43
199007,   5.93
199008,   1.78
199009,   5.53
199010,   6.73
199011,  -5.62
199012,   0.16
199101,  -6.53
199102,  -4.73
199103,   2.83
199104,  -2.40
199105,  -0.10
199106,   0.46
199107,   4.31
199108,   1.63
199109,   1.73
199110,   3.23
199111,   1.26
199112,   8.30
199201,  -2.51
199202,  -0.58
199203,  -0.36
199204,  -2.60
199205,   0.13
199206,  -0.61
199207,   1.44
199208,  -0.51
199209,   1.43
199210,   2.71
199211,  -0.34
199212,   4.44
199301,   4.83
199302,   3.10
199303,   3.74
199304,   0.33
199305,   0.30
199306,   4.58
199307,   3.25
199308,   2.58
199309,   3.41
199310,  -2.67
199311,  -4.71
199312,   2.28
199401,   0.02
199402,  -0.29
199403,  -1.33
199404,   0.41
199405,  -2.15
199406,  -0.82
199407,   0.19
199408,   1.56
199409,   1.32
199410,   1.43
199411,  -0.20
199412,   3.50
199501,  -1.82
199502,  -0.36
199503,   0.39
199504,   1.80
199505,  -0.44
199506,   2.90
199507,   2.53
199508,   0.09
199509,   2.71
199510,   4.11
199511,  -0.64
199512,   2.54
199601,   0.56
199602,   0.57
199603,  -1.87
199604,  -0.91
199605,   1.55
199606,   1.01
199607,  -0.11
199608,  -0.05
199609,   2.70
199610,   3.91
199611,  -2.23
199612,   0.61
199701,   1.95
199702,  -2.05
199703,   0.96
199704,   4.92
199705,  -5.16
199706,   2.62
199707,   3.81
199708,  -2.55
199709,   1.45
199710,  -0.38
199711,   0.29
199712,   3.95
199801,   0.11
199802,  -1.15
199803,   2.15
199804,   0.78
199805,   1.88
199806,   7.26
199807,   3.68
199808,   1.88
199809,  -0.71
199810,  -5.36
199811,   1.16
199812,   8.99
199901,   3.04
199902,  -0.16
199903,  -1.29
199904,  -9.06
199905,  -5.28
199906,   4.88
199907,   1.51
199908,   2.92
199909,   6.46
199910,   5.47
199911,   5.62
199912,  13.19
200001,   1.86
200002,  18.36
200003,  -6.39
200004,  -8.58
200005,  -9.08
200006,  16.59
200007,  -0.11
200008,   5.70
200009,   2.20
200010,  -4.63
200011,  -2.40
200012,   6.70
200101, -25.05
200102,  12.51
200103,   8.35
200104,  -7.97
200105,   2.12
200106,   0.34
200107,   5.47
200108,   5.54
200109,  11.54
200110,  -8.41
200111,  -8.58
200112,  -0.02
200201,   3.68
200202,   6.76
200203,  -1.66
200204,   7.95
200205,   2.97
200206,   6.15
200207,   3.34
200208,   1.76
200209,   9.09
200210,  -5.30
200211, -16.17
200212,   9.64
200301,   1.61
200302,   1.25
200303,   1.61
200304,  -9.46
200305, -10.77
200306,  -1.06
200307,  -0.31
200308,  -0.56
200309,  -0.19
200310,   3.73
200311,   1.62
200312,  -5.71
200401,   2.60
200402,  -1.10
200403,   0.21
200404,  -5.39
200405,   1.60
200406,   2.10
200407,  -2.29
200408,  -1.55
200409,   5.25
200410,  -1.52
200411,   3.23
200412,  -2.84
200501,   3.20
200502,   3.16
200503,   0.54
200504,  -0.87
200505,   0.44
200506,   2.05
200507,  -0.01
200508,   2.27
200509,   3.46
200510,  -1.29
200511,   0.25
200512,   0.77
200601,   2.68
200602,  -1.84
200603,   1.26
200604,   0.61
200605,  -3.65
200606,   1.48
200607,  -2.22
200608,  -3.46
200609,  -0.94
200610,  -0.23
200611,  -1.01
200612,   0.84
200701,   0.21
200702,  -1.35
200703,   2.49
200704,  -0.16
200705,  -0.27
200706,   0.37
200707,   2.80
200708,   0.11
200709,   4.59
200710,   4.96
200711,   0.93
200712,   6.52
200801,  -7.89
200802,   6.11
200803,   4.10
200804,  -0.20
200805,   3.21
200806,  12.53
200807,  -5.14
200808,  -4.04
200809,   0.35
200810,   7.79
200811,   7.10
200812,  -5.08
200901,  -1.84
200902,   4.16
200903, -11.38
200904, -34.39
200905, -12.44
200906,   5.29
200907,  -5.36
200908,  -8.84
200909,  -4.93
200910,   2.66
200911,   0.29
200912,   2.91
201001,  -5.38
201002,   3.60
201003,   3.66
201004,   3.22
201005,  -0.13
201006,  -3.00
201007,   1.88
201008,  -0.19
201009,   1.35
201010,   1.64
201011,   2.54
201012,  -3.19
201101,  -0.32
201102,   2.03
201103,   3.51
201104,   0.06
201105,  -0.58
201106,   1.77
201107,   0.02
201108,  -0.33
201109,  -2.57
201110,  -1.42
201111,   3.98
201112,   1.95
201201,  -7.96
201202,  -0.28
201203,   1.49
201204,   3.84
201205,   6.59
201206,  -0.72
201207,   3.16
201208,  -2.48
201209,  -1.04
201210,   0.10
201211,   0.34
201212,  -2.97
201301,  -1.86
201302,   1.32
201303,   1.97
201304,   0.27
201305,  -1.78
201306,   0.59
201307,   1.75
201308,   0.05
201309,   2.96
201310,   0.15
201311,   0.40
201312,   0.04
201401,   1.70
201402,   2.07
201403,  -3.34
201404,  -3.86
201405,   1.15
201406,   0.67
201407,  -0.25
201408,   0.80
201409,   0.52
201410,   0.00
201411,   1.06
201412,   1.09
201501,   3.84
201502,  -2.84
201503,   3.02
201504,  -7.39
201505,   6.01
201506,   3.03
201507,  10.32
201508,  -2.12
201509,   5.33
201510,  -4.03
201511,   2.32
201512,   3.45
201601,   1.33
201602,  -4.10
201603,  -5.13
201604,  -6.26
201605,   1.92
201606,   4.21
201607,  -2.99
201608,  -3.12
201609,  -0.58
201610,   0.65
201611,  -4.15
201612,  -0.42
201701,  -0.94
201702,  -1.66
201703,  -0.92
201704,   0.55
201705,   1.45
201706,  -0.26
201707,   1.63
201708,   3.52
201709,  -1.17
201710,   4.30
201711,  -0.73
201712,  -1.65
201801,   3.93
201802,   3.96
201803,  -1.24
201804,   0.20
201805,   3.81
201806,  -2.38
201807,  -1.58
201808,   5.31
201809,  -0.07
201810,  -1.82
201811,  -1.42
201812,   1.84
201901,  -8.68
201902,   0.79
201903,   2.18
201904,  -2.61
201905,   7.61
201906,  -2.23
201907,   2.68
201908,   7.60
201909,  -6.85
201910,   0.24
